식품명,식품대분류명,에너지(kcal),단백질(g),당류(g),포화지방산(g),나트륨(mg),식이섬유(g),score_energy,score_sugar,score_satfat,score_sodium,food_group_score,kfni_total_score,kfni_grade
번_로띠번,빵 및 과자류,369,9.47,12.63,8.42,305.0,,3,3,3,1,5,15,E
버터빵_약과 버터바,빵 및 과자류,432,4.05,22.3,10.14,194.0,,3,3,3,1,5,15,E
버터빵_소금빵,빵 및 과자류,432,15.38,9.23,1.85,,,3,2,1,3,5,14,E
버터빵_버터롤,빵 및 과자류,320,8.0,11.0,6.0,410.0,,3,2,2,2,5,14,E
치즈빵_카스타드화이트치즈볼,빵 및 과자류,333,5.0,13.33,8.33,350.0,,3,3,3,2,5,16,E
타르트_미니 타르트 4종 세트,빵 및 과자류,446,8.53,27.06,16.76,110.0,,3,3,3,0,5,14,E
파이/만주_미니애플파이,빵 및 과자류,346,5.41,13.51,11.62,259.0,,3,3,3,1,5,15,E
토스트_구운햄치즈 토스트,빵 및 과자류,304,11.0,5.0,8.0,506.0,,3,1,3,3,5,15,E
크로와상_리얼버터 오리지널 크로와상,빵 및 과자류,490,10.0,5.0,15.0,385.0,,3,1,3,2,5,14,E
케이크_헤이즐넛초콜릿 케이크,빵 및 과자류,383,6.25,18.13,12.5,92.0,,3,3,3,0,5,14,E
피자_페퍼로니 피자 (L),빵 및 과자류,282,11.25,5.0,4.38,636.0,,3,1,2,3,5,14,E
피자_페퍼로니폭탄 피자,빵 및 과자류,286,14.29,5.22,4.51,481.0,,3,1,2,3,5,14,E
케이크_하츄핑도반한딸기생크림,빵 및 과자류,286,2.96,18.97,12.81,94.0,,3,3,3,0,5,14,E
케이크_필라델피아치즈 케이크,빵 및 과자류,340,6.6,22.64,14.15,255.0,,3,3,3,1,5,15,E
케이크_플라워베리생크림 케이크 3호,빵 및 과자류,288,4.39,26.35,7.77,97.0,,3,3,3,0,5,14,E
케이크_플라워베리생크림 케이크 2호,빵 및 과자류,421,6.67,38.6,10.85,147.0,,3,3,3,0,5,14,E
케이크_플라워베리생크림 케이크 1호,빵 및 과자류,291,4.78,19.35,9.78,102.0,,3,3,3,0,5,14,E
크로와상_레몬글레이즈 크로와상,빵 및 과자류,450,9.09,4.55,13.64,350.0,,3,1,3,2,5,14,E
크로와상_로띠크로,빵 및 과자류,388,8.33,8.0,10.0,475.0,,3,2,3,3,5,16,E
크로와상_마약옥수수 크로와상,빵 및 과자류,324,7.32,4.88,12.2,366.0,,3,1,3,2,5,14,E
크로와상_갈릭대파 크로와상,빵 및 과자류,415,9.09,6.06,15.15,342.0,,3,1,3,2,5,14,E
크로와상_말차 크로와상,빵 및 과자류,380,8.57,11.43,11.43,249.0,,3,2,3,1,5,14,E
크로와상_메이플 크로와상,빵 및 과자류,477,9.09,9.09,13.64,350.0,,3,2,3,2,5,15,E
케이크_초코생크림뉴욕롤,빵 및 과자류,436,5.81,13.95,17.44,302.0,,3,3,3,1,5,15,E
크로와상_미니크라상,빵 및 과자류,417,5.56,11.11,15.0,444.0,,3,2,3,2,5,15,E
크로와상_민트초코 크로와상,빵 및 과자류,426,5.88,8.82,20.59,241.0,,3,2,3,1,5,14,E
크로와상_블루베리크로,빵 및 과자류,356,5.26,21.0,9.47,326.0,,3,3,3,1,5,15,E
크로와상_비스킷크림 크로와상,빵 및 과자류,407,7.32,17.07,12.2,280.0,,3,3,3,1,5,15,E
크로와상_사과크로,빵 및 과자류,377,5.26,24.0,10.53,400.0,,3,3,3,2,5,16,E
